Record ID,Company Name,Industry,Carbon Emissions (MT),Water Usage (m^3),Energy Consumption (MWh),Waste Generation (MT),Recycling Rate (%),Supply Chain Sustainability Score,Employee Transportation Mode,Renewable Energy Use (%),Sustainability Training,Community Engagement Score,Sustainability Reporting Frequency,Eco-friendly Product Lines (%),Investment in Sustainability (USD),Third-party Sustainability Certification,Customer Feedback Score on Sustainability,Sustainable Packaging Initiatives,Likelihood of Achieving Sustainability Goals
1.0,Company_1,IT,41648.0,165790.0,41851.0,11163.0,65.84644538214557,55.0,Car,17.492863280245597,Yes,75.0,Bi-annually,35.93634527720151,1649580.0,Yes,67.0,4.0,0.6941917809104149
2.0,Company_2,Automobile,40231.0,593567.0,2192.0,741.0,52.904041538685256,90.0,Car,28.862218149854936,Yes,92.0,Bi-annually,50.7041741202627,3152458.0,Yes,95.0,5.0,0.141324009212387
3.0,Company_3,IT,3973.0,450035.0,34379.0,9787.0,27.05969019252416,93.0,Car,15.218814843877066,No,38.0,Quarterly,13.788310057165138,4389876.0,No,54.0,6.0,0.8747564044706145
,,,,,,,,,,,,,,,,,,,
5.0,Company_5,Electronics,28881.0,148136.0,6072.0,19969.0,52.53520002575784,44.0,Public Transport,62.06615300979947,No,82.0,Quarterly,78.71337331332738,1463022.0,No,60.0,4.0,0.5135465959178231
6.0,Company_6,Automobile,36644.0,593278.0,30072.0,3693.0,34.29874341324836,68.0,Public Transport,61.08888924084405,No,49.0,Quarterly,65.22491485505947,4879181.0,No,60.0,3.0,0.7868652633132911
7.0,Company_7,Electronics,44744.0,318662.0,13490.0,10163.0,75.95083736773884,92.0,Walking,70.40499389338652,No,72.0,Quarterly,74.15266003436084,2426113.0,No,96.0,4.0,0.2005999093467333
8.0,Company_8,Electronics,1797.0,312820.0,40371.0,17881.0,76.15323862205423,40.0,Car,15.738667065778136,No,32.0,Bi-annually,27.04770570144888,3898327.0,No,57.0,0.0,0.0618282581674467
9.0,Company_9,Pharmaceutical,37408.0,721854.0,41667.0,4792.0,55.63488002667511,68.0,Public Transport,36.9394162703922,Yes,99.0,Annually,67.80058247096346,653751.0,Yes,80.0,1.0,0.0824988546240408
10.0,Company_10,Automobile,4477.0,841433.0,13742.0,10603.0,68.28962013730757,66.0,Car,32.46135350724035,Yes,72.0,Annually,43.182019774944855,4611005.0,No,81.0,3.0,0.6155906196325212
11.0,Company_11,Textile,29910.0,884545.0,19213.0,2647.0,39.56463245664988,97.0,Walking,60.67114249309329,No,99.0,Bi-annually,53.529513898097846,471735.0,No,79.0,1.0,0.3677306284346646
12.0,Company_12,Automobile,34981.0,889347.0,36110.0,6384.0,33.22237793868736,88.0,Public Transport,43.629583747426246,Yes,56.0,Annually,23.11669772699858,3594212.0,No,68.0,4.0,0.3560799684524204
13.0,Company_13,Automobile,27961.0,648891.0,39626.0,7310.0,37.21362744582787,91.0,Car,66.48117277505813,Yes,65.0,Quarterly,66.03737015719268,2207714.0,No,90.0,2.0,0.9014682102875644
14.0,Company_14,Automobile,15779.0,888276.0,32684.0,3928.0,63.99022690732066,99.0,Walking,10.399282208482102,Yes,83.0,Quarterly,69.97392436285602,815093.0,No,89.0,2.0,0.6229220130206038
,,,,,,,,,,,,,,,,,,,
16.0,Company_16,Textile,36467.0,245869.0,28624.0,762.0,76.31674649663032,48.0,Walking,72.08044223205079,No,83.0,Quarterly,38.83196824919895,4857377.0,Yes,81.0,3.0,0.2319588395136597
17.0,Company_17,Food & Beverages,6470.0,249625.0,47352.0,12050.0,63.619165039844894,62.0,Bike,48.84118656405667,No,46.0,Annually,56.82439309113761,3465639.0,No,60.0,3.0,0.0048147546716963
18.0,Company_18,Textile,35461.0,183216.0,41216.0,20547.0,72.75736870632046,42.0,Public Transport,12.861734629597766,Yes,30.0,Bi-annually,43.3680121431652,1904248.0,No,86.0,3.0,0.5923768204806426
19.0,Company_19,Textile,22516.0,178269.0,16476.0,9071.0,30.769432136952936,46.0,Car,45.25319583028819,Yes,82.0,Annually,50.394023066897525,4341940.0,Yes,56.0,2.0,0.5983010753979188
20.0,Company_20,Food & Beverages,38203.0,660913.0,48015.0,5537.0,64.59253072689341,67.0,Walking,58.37695414705408,No,54.0,Annually,67.09154608302777,3890844.0,Yes,59.0,3.0,0.7857975582133669
21.0,Company_21,Automobile,5801.0,452628.0,7800.0,6840.0,30.17223643148259,56.0,Car,51.12962612572984,No,62.0,Quarterly,37.41085378914264,210944.0,No,81.0,6.0,0.5814246430962688
22.0,Company_22,Automobile,8299.0,154066.0,15665.0,23663.0,75.31651611113895,41.0,Public Transport,66.74791959598102,Yes,71.0,Bi-annually,50.28831098200592,1135016.0,Yes,87.0,4.0,0.6789662887376805
23.0,Company_23,Electronics,16109.0,923611.0,6032.0,19447.0,69.25403035685903,61.0,Car,33.87512969247195,Yes,32.0,Annually,47.24933015154161,4644118.0,Yes,63.0,2.0,0.6666769217719376
24.0,Company_24,Food & Beverages,1706.0,337462.0,46235.0,21441.0,26.356773702114843,74.0,Public Transport,17.539667702875192,Yes,51.0,Annually,60.27962164555387,3519769.0,No,52.0,1.0,0.4878038839907023
25.0,Company_25,Automobile,33683.0,27394.0,2942.0,21080.0,49.44814172754382,58.0,Walking,32.399570881384555,Yes,70.0,Annually,63.80763548899176,4601163.0,No,68.0,6.0,0.5596121226568535
26.0,Company_26,Textile,24200.0,177234.0,14692.0,10280.0,30.84533201142232,49.0,Walking,60.780381661317406,No,70.0,Bi-annually,10.80439128266074,2625198.0,Yes,74.0,4.0,0.4930474663073398
27.0,Company_27,IT,23731.0,627683.0,2598.0,12142.0,31.14369613105024,85.0,Public Transport,21.774521737235958,No,57.0,Annually,79.29327805435057,818699.0,Yes,89.0,2.0,0.5265568014461351
28.0,Company_28,Pharmaceutical,3839.0,69763.0,47371.0,10775.0,68.10224881941808,47.0,Public Transport,74.67392059974308,Yes,96.0,Annually,62.044674015975104,4936372.0,No,63.0,7.0,0.573202996511204
29.0,Company_29,Textile,18570.0,334848.0,13120.0,15718.0,60.70128600826365,53.0,Public Transport,13.741740340284387,Yes,54.0,Bi-annually,17.42144312679466,1929012.0,Yes,73.0,0.0,0.686709432135087
,,,,,,,,,,,,,,,,,,,
31.0,Company_31,Food & Beverages,14860.0,575052.0,34602.0,23549.0,49.65143632863901,54.0,Bike,68.0717653938676,No,60.0,Quarterly,31.516430005664297,608069.0,Yes,71.0,4.0,0.6946896682031153
,,,,,,,,,,,,,,,,,,,
33.0,Company_33,IT,49146.0,335918.0,43623.0,5646.0,46.67834765815657,88.0,Public Transport,56.49642811173929,No,72.0,Quarterly,36.655471728328045,4693416.0,Yes,96.0,3.0,0.8797724886296682
,,Healtchare,1000000.0,,,,,,,,,,,,,,,,
35.0,Company_35,IT,47481.0,21277.0,10315.0,15032.0,28.02175942829382,87.0,Walking,23.812756866973864,Yes,70.0,Annually,62.108221502606455,4299710.0,No,70.0,2.0,0.5196425446617579
,,,,,,,,,,,,,,,,,,,
37.0,Company_37,IT,48642.0,817575.0,38895.0,20408.0,60.42587489429604,41.0,Public Transport,79.3454076397181,No,74.0,Bi-annually,41.16963327166574,3559095.0,Yes,94.0,5.0,0.3857498512744389
38.0,Company_38,Textile,1667.0,115053.0,41683.0,16533.0,77.65442991388761,99.0,Bike,40.03778375399218,No,30.0,Annually,19.62683276142007,2962812.0,No,59.0,3.0,0.8109951440953851
39.0,Company_39,Automobile,19694.0,265224.0,8977.0,644.0,51.669952965366,58.0,Walking,44.94700227359053,Yes,91.0,Annually,67.93700347973699,1717271.0,No,51.0,7.0,0.356248462617365
,,,,,,,,,,,,,,,,,,,
41.0,Company_41,IT,45666.0,912222.0,30405.0,23638.0,62.98524897705962,82.0,Public Transport,48.191833699606846,Yes,51.0,Annually,33.42340817967485,2625639.0,No,82.0,2.0,0.5186459210745847
42.0,Company_42,Food & Beverages,28642.0,550140.0,25114.0,9702.0,79.77315206675183,52.0,Walking,51.38620138163932,No,43.0,Bi-annually,34.026806951404595,3671091.0,No,60.0,4.0,0.5792449176342239
43.0,Company_43,IT,3172.0,832722.0,47445.0,10226.0,56.996436727438265,46.0,Car,52.50442632532562,Yes,77.0,Bi-annually,42.82890495462631,1155625.0,Yes,55.0,3.0,0.4334005041122925
44.0,Company_44,Food & Beverages,13725.0,244676.0,42397.0,23213.0,23.931608751436038,96.0,Bike,13.005148254680243,Yes,64.0,Quarterly,31.52094893062961,1515524.0,Yes,78.0,3.0,0.6640955286390072
45.0,Company_45,Textile,36243.0,393835.0,16105.0,12887.0,30.103951425172312,45.0,Car,50.0686179340779,No,85.0,Bi-annually,17.79131281589813,3315168.0,No,69.0,2.0,0.3464212137843023
46.0,Company_46,Electronics,11206.0,73203.0,38201.0,19214.0,42.46597938511559,93.0,Car,25.728353756394213,Yes,84.0,Annually,60.41434299641749,2048832.0,No,58.0,2.0,0.3995590941621743
47.0,Company_47,Pharmaceutical,1438.0,424384.0,35691.0,9216.0,64.78877627074581,41.0,Bike,57.77244469338599,No,69.0,Bi-annually,78.37990945762147,2654981.0,Yes,59.0,4.0,0.0189859427835374
